symbol,date,open,high,low,close
GOOGL,2026-01-16 12:55:00,329.4400,329.6500,327.7000,327.9400
GOOGL,2026-01-16 12:50:00,329.5700,329.7400,329.3400,329.4100
GOOGL,2026-01-16 12:45:00,329.6800,329.7116,329.4800,329.6000
GOOGL,2026-01-16 12:40:00,329.6200,329.7585,329.5300,329.6800
GOOGL,2026-01-16 12:35:00,329.6400,329.8600,329.5500,329.5800
GOOGL,2026-01-16 12:30:00,329.6500,329.7600,329.5000,329.6050
GOOGL,2026-01-16 12:25:00,329.8550,329.9001,329.6200,329.6700
GOOGL,2026-01-16 12:20:00,329.9250,330.1100,329.8403,329.8600
GOOGL,2026-01-16 12:15:00,330.0735,330.1900,329.9000,329.9300
GOOGL,2026-01-16 12:10:00,329.9200,330.1400,329.8300,330.0800
GOOGL,2026-01-16 12:05:00,329.7800,330.0100,329.6000,329.9200
GOOGL,2026-01-16 12:00:00,330.2450,330.2450,329.7200,329.7900
GOOGL,2026-01-16 11:55:00,329.8500,330.4000,329.5000,330.2800
GOOGL,2026-01-16 11:50:00,330.1300,330.2750,329.8200,329.8650
GOOGL,2026-01-16 11:45:00,330.4800,330.7000,329.9650,330.1200
GOOGL,2026-01-16 11:40:00,330.4399,330.5900,330.2900,330.5300
